year,Base case diesel consumed,Modeled residential energy efficiency
2017,64985.6800651,46230.0922716
2018,66507.0275599,47751.4397664
2019,68028.3750546,49272.7872612
2020,69549.7225494,50794.134756
2021,71071.0700442,52315.4822508
2022,72592.417539,53836.8297456
2023,74113.7650338,55358.1772404
2024,76395.786276,57640.1984826
2025,77917.1337708,59161.5459774
2026,79438.4812656,60682.8934722
2027,80959.8287604,62204.240967
2028,82481.1762552,63725.5884617
2029,84763.1974974,66007.6097039
2030,86284.5449921,67528.9571987
2031,87805.8924869,69050.3046935
