year,Base case diesel consumed,Modeled non-residential ashp
2017,16208.1464358,-19026.9545468
2018,16208.1464358,-19026.9545468
2019,16208.1464358,-19026.9545468
2020,16208.1464358,-19026.9545468
2021,16208.1464358,-19026.9545468
2022,16208.1464358,-19026.9545468
2023,16208.1464358,-19026.9545468
2024,16208.1464358,-19026.9545468
2025,16208.1464358,-19026.9545468
2026,16208.1464358,-19026.9545468
2027,16208.1464358,-19026.9545468
2028,16208.1464358,-19026.9545468
2029,16208.1464358,-19026.9545468
2030,16208.1464358,-19026.9545468
2031,16208.1464358,-19026.9545468
