year,Base case cost,Modeled water and wastewater efficiency
2017,143913.53066,127718.068207
2018,153884.432651,134220.506412
2019,167257.953226,143148.255333
2020,175039.82838,148126.801529
2021,181627.343238,152271.726459
2022,187533.218036,155946.31932
2023,192696.370544,159106.892169
2024,197411.352217,161962.202704
2025,202752.710847,165273.273802
2026,208461.865229,168856.589754
2027,213913.42247,172268.412204
2028,219093.337492,175498.530328
2029,225039.783315,179284.696514
2030,230341.516909,182623.960438
2031,236486.818731,186570.529033
