year,Base case diesel consumed,Modeled residential ashp
2017,9676.76438825,-55308.9157418
2018,9903.30231545,-55082.3778146
2019,10129.8402427,-54855.8398874
2020,10356.3781699,-54629.3019602
2021,10582.9160971,-54402.764033
2022,10809.4540243,-54176.2261058
2023,11035.9919515,-53949.6881786
2024,11375.7988423,-53609.8812878
2025,11602.3367695,-53383.3433606
2026,11828.8746967,-53156.8054334
2027,12055.4126239,-52930.2675062
2028,12281.9505511,-52703.729579
2029,12621.7574419,-52363.9226882
2030,12848.2953691,-52137.384761
2031,13074.8332963,-51910.8468338
