year,Base case cost,Modeled biomass for heat (cordwood)
2017,244699.980443,263357.707779
2018,262304.970443,276375.113497
2019,286229.700443,294065.434088
2020,297063.540443,302076.145299
2021,304737.510443,307750.399073
2022,310605.840443,312089.534312
2023,314668.530443,315093.551016
2024,317828.400443,317430.008453
2025,321439.680443,320100.245523
2026,326405.190443,323771.821495
2027,330016.470443,326442.058565
2028,333627.750443,329112.295636
2029,337690.440443,332116.31234
2030,340398.900443,334118.990143
2031,345364.410443,337790.566114
2032,,
2033,,
2034,,
2035,,
2036,,
