year,Base case cost,Modeled water and wastewater efficiency
2017,88597.5268102,74393.0109801
2018,93478.8198781,77811.9856861
2019,100611.961734,82808.1529148
2020,104001.745251,85182.663096
2021,106271.145474,86772.5749981
2022,108165.775795,88100.0025583
2023,109311.302272,88902.7889933
2024,110455.710496,89704.762042
2025,111605.470398,90510.6047667
2026,113135.075151,91582.5883259
2027,114484.390268,92528.4628529
2028,115456.691502,93210.2360572
2029,116988.474281,94283.7754941
2030,117775.449851,94835.7931903
2031,119311.350639,95912.298735
