year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,,0.0,8347.74,5681.13
2018,,0.0,8347.74,5681.13
2019,,0.0,8347.74,5681.13
2020,,0.0,8347.74,5681.13
2021,,0.0,8347.74,5681.13
2022,,0.0,8347.74,5681.13
2023,,0.0,8347.74,5681.13
2024,,0.0,8347.74,5681.13
2025,,0.0,8347.74,5681.13
2026,,0.0,8347.74,5681.13
2027,,0.0,8347.74,5681.13
2028,,0.0,8347.74,5681.13
2029,,0.0,8347.74,5681.13
2030,,0.0,8347.74,5681.13
2031,,0.0,8347.74,5681.13
2032,,0.0,8347.74,5681.13
2033,,0.0,8347.74,5681.13
2034,,0.0,8347.74,5681.13
2035,,0.0,8347.74,5681.13
2036,,0.0,8347.74,5681.13
2037,,0.0,8347.74,4658.59
2038,,0.0,8347.74,4658.59
2039,,0.0,8347.74,4658.59
2040,,0.0,8347.74,4658.59
