year,Base case diesel consumed,Modeled residential ashp
2017,10511.2032553,-55254.3430806
2018,10856.7564298,-54908.7899062
2019,11202.3096042,-54563.2367317
2020,11547.8627787,-54217.6835573
2021,11893.4159531,-53872.1303828
2022,12066.1925403,-53699.3537956
2023,12411.7457148,-53353.8006212
2024,12584.522302,-53181.0240339
2025,12930.0754764,-52835.4708595
2026,13275.6286509,-52489.9176851
2027,13621.1818253,-52144.3645106
2028,13966.7349998,-51798.8113362
2029,14485.0647614,-51280.4815745
2030,14830.6179359,-50934.9284001
2031,15176.1711103,-50589.3752256
