year,Base case diesel consumed,Modeled non-residential ashp
2017,244880.558566,-287468.481262
2018,244880.558566,-287468.481262
2019,244880.558566,-287468.481262
2020,244880.558566,-287468.481262
2021,244880.558566,-287468.481262
2022,244880.558566,-287468.481262
2023,244880.558566,-287468.481262
2024,244880.558566,-287468.481262
2025,244880.558566,-287468.481262
2026,244880.558566,-287468.481262
2027,244880.558566,-287468.481262
2028,244880.558566,-287468.481262
2029,244880.558566,-287468.481262
2030,244880.558566,-287468.481262
2031,244880.558566,-287468.481262
