year,Base case diesel consumed,Modeled wind power
2019,2147658.86754,1692848.54986
2020,2151720.80725,1696910.48957
2021,2155479.61712,1700669.29944
2022,2159117.17507,1704306.85739
2023,2162694.10705,1707883.78937
2024,2166210.41306,1711400.09538
2025,2169666.09311,1714855.77543
2026,2173121.77316,1718311.45547
2027,2176456.20127,1721645.88359
2028,2179730.00342,1724919.68574
2029,2183670.6912,1728860.37351
2030,2187490.12704,1732679.80935
2031,2191006.43305,1736196.11537
2032,2193977.10537,1739166.78769
2033,2196644.64786,1741834.33018
2034,2199372.81632,1744562.49864
2035,2202222.23671,1747411.91903
2036,2205314.16097,1750503.84328
2037,2208648.58908,1753838.2714
2038,2211922.39123,1757112.07355
