year,Base case cost,Nome (penny river),Nome (osborn creek),Nome (buster creek),Nome (buster) -- buster creek,"Nome (sulphur creek) -- sulphur creek, aka alfield creek",Nome (david creek),Nome (nome river)
2021,6121562.11263,6990240.10789,7031439.81166,6688257.15016,7313935.18503,7779523.90257,8032528.663,8292139.69181
2022,6304622.1512,7151639.87284,7186206.03656,6859233.68454,7461996.61133,7927415.5491,8172691.46754,8422322.72044
2023,6423201.49793,7250057.37381,7279339.89928,6966240.13238,7548835.60213,8012278.40834,8250585.87352,8491485.01817
2024,6541955.44745,7349080.73798,7373153.69247,7073682.94731,7636491.52652,8098079.94695,8329558.14652,8561887.60106
2025,6660874.90584,7448690.76488,7467626.4799,7181546.901,7724940.23762,8184793.16493,8409578.02467,8633496.401
2026,6823602.36771,7591815.53538,7604835.27618,7333306.79209,7856075.85791,8315596.74505,8533409.09855,8748350.3908
2027,6942895.28206,7692611.94515,7700634.06345,7442037.62809,7946108.82008,8404123.70517,8615505.08789,8822341.46053
2028,7062325.21109,7793937.59869,7797029.45827,7551143.55204,8036862.99344,8493482.60362,8698559.60601,8897438.77748
2029,7206113.28094,7919652.15958,7917454.86021,7684759.25899,8151678.97952,8607655.12067,8806345.41354,8997051.19067
2030,7306217.0243,8002760.99624,7996188.1521,7775079.38878,8225101.44339,8679252.36648,8872088.58249,9055482.74106
2031,7471331.9367,8150189.48008,8138029.77225,7930389.8541,8361478.64735,8815838.49549,9002320.67174,9177459.43514
2032,7613100.55564,8274980.67319,8257720.05435,8062651.40525,8475907.7181,8929933.52391,9110382.74728,9277760.91516
2033,7776122.05344,8421020.84313,8398294.45884,8216296.4345,8611241.70332,9065675.48567,9239998.23782,9399386.5604
2034,7939735.86692,8567993.53461,8539859.81388,8370740.2759,8747674.71594,9202612.5157,9370918.59678,9522445.1999
2035,8060133.38637,8672786.70664,8640152.07991,8482331.18422,8843119.93953,9297368.19962,9460176.74257,9604687.64917
2036,8225821.8204,8822490.69515,8784561.51357,8639248.23242,8982605.64425,9437543.30297,9594547.11467,9731443.61452
2037,8348691.66673,8930397.47992,8888077.53064,8753700.71213,9081478.34306,9535907.49851,9687620.74463,9817743.06436
2038,8515901.20624,9082248.82969,9034741.88249,8912518.98743,9223417.91537,9678713.26285,9824823.89936,9947567.6682
2039,8637846.50659,9189842.64637,9138049.96754,9026418.13368,9322276.96868,9777236.46269,9918253.91804,10034453.8348
2040,8825408.62937,9362291.55246,9304989.76461,9205870.65245,9484591.8411,9941229.804,10076631.4549,10185317.3005
2041,8835784.15715,9360660.20165,9301296.28009,9208958.30455,9477084.00238,9930332.39688,10061858.8737,10166022.7764
2042,8846159.68493,9359310.26178,9297932.53771,9212216.76607,9469995.30465,9919933.57368,10047675.7008,10147423.6434
2043,8857500.37808,9359200.30355,9295855.97558,9216607.19957,9464281.091,9910986.8158,10035033.289,10130468.771
2044,8869082.36257,9359600.01121,9294335.1716,9221401.82108,9459207.89292,9902756.83622,10023194.2724,10114418.367
2045,8879940.47304,9359537.92965,9292397.59043,9225631.64749,9453801.17695,9894267.32588,10011180.312,10098291.7236
2046,8890074.70947,9359007.9156,9290036.0337,9229292.95,9448051.79313,9885507.40055,9998978.54063,10082073.6602
2047,8899726.36322,9358245.26264,9287484.76492,9232623.37945,9442192.09958,9876707.72516,9986817.68766,10065990.6471
2048,8909378.01696,9357726.69472,9285219.50182,9236101.96244,9436695.95283,9868340.50233,9975168.06475,10050510.7896
2049,8919029.67071,9357446.49122,9283233.54128,9239725.22668,9431554.83243,9860395.59665,9964017.69019,10035619.9515
2050,8928681.32446,9357399.06591,9281520.33766,9243489.78147,9426760.4181,9852863.11083,9953354.86376,10021304.3287
