year,Base case diesel consumed,Modeled non-residential ashp
2017,12065.0955151,-14163.3730222
2018,12065.0955151,-14163.3730222
2019,12065.0955151,-14163.3730222
2020,12065.0955151,-14163.3730222
2021,12065.0955151,-14163.3730222
2022,12065.0955151,-14163.3730222
2023,12065.0955151,-14163.3730222
2024,12065.0955151,-14163.3730222
2025,12065.0955151,-14163.3730222
2026,12065.0955151,-14163.3730222
2027,12065.0955151,-14163.3730222
2028,12065.0955151,-14163.3730222
2029,12065.0955151,-14163.3730222
2030,12065.0955151,-14163.3730222
2031,12065.0955151,-14163.3730222
