year,Base case diesel consumed,Modeled residential energy efficiency
2017,180163.311211,94051.8356157
2018,188249.480249,102138.004653
2019,196335.649286,110224.173691
2020,204421.818324,118310.342728
2021,215203.377041,129091.901445
2022,223289.546078,137178.070483
2023,231375.715116,145264.23952
2024,239461.884153,153350.408558
2025,247548.053191,161436.577595
2026,258329.611908,172218.136312
2027,266415.780945,180304.30535
2028,274501.949983,188390.474387
2029,285283.5087,199172.033104
2030,293369.677737,207258.202142
2031,301455.846775,215344.371179
