year,Base case diesel consumed,Modeled solar power (pv)
2016,60935.4701119,59794.8186295
2017,60935.4701119,59803.9438414
2018,60935.4701119,59812.9960515
2019,60935.4701119,59821.975844
2020,60935.4701119,59830.8837982
2021,61018.6017219,59922.8520986
2022,60935.4701119,59848.4864857
2023,60935.4701119,59857.1823547
2024,60935.4701119,59865.8086567
2025,60935.4701119,59874.3659484
2026,61018.6017219,59965.9863916
2027,61018.6017219,59974.4073143
2028,61018.6017219,59982.7608695
2029,61101.7333318,60074.1792063
2030,61184.8649418,60165.5312493
2031,61267.9965518,60256.8175288
2032,61267.9965518,60264.906961
2033,61267.9965518,60272.9316777
2034,61184.8649418,60197.7605868
2035,61184.8649418,60205.6574216
