year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,11931.33,643810.0,643810.0
2004,,11931.33,646437.0,646437.0
2005,,11931.33,628383.0,628383.0
2006,,11931.33,627488.0,627488.0
2007,,11931.33,622816.0,622816.0
2008,,11931.33,607191.0,607191.0
2009,,11931.33,588233.0,588233.0
2010,,11931.33,635007.0,635007.0
2011,,11931.33,664080.0,664080.0
2012,,11931.33,777126.0,777126.0
2013,,11931.33,783837.0,783837.0
2014,start of forecast,11931.33,733000.0,733000.0
2015,,11931.33,733000.0,733000.0
2016,,11931.33,733000.0,733000.0
2017,,11931.33,733000.0,733000.0
2018,,11931.33,733000.0,733000.0
2019,,11931.33,733000.0,733000.0
2020,,11931.33,733000.0,733000.0
2021,,11931.33,734000.0,734000.0
2022,,11931.33,733000.0,733000.0
2023,,11931.33,733000.0,733000.0
2024,,11931.33,733000.0,733000.0
2025,,11931.33,733000.0,733000.0
2026,,11931.33,734000.0,734000.0
2027,,11931.33,734000.0,734000.0
2028,,11931.33,734000.0,734000.0
2029,,11931.33,735000.0,735000.0
2030,,11931.33,736000.0,736000.0
2031,,11931.33,737000.0,737000.0
2032,,11931.33,737000.0,737000.0
2033,,11931.33,737000.0,737000.0
2034,,11931.33,736000.0,736000.0
2035,,11931.33,736000.0,736000.0
2036,,11931.33,737000.0,737000.0
2037,,11931.33,737000.0,737000.0
2038,,11931.33,738000.0,738000.0
2039,,11931.33,739000.0,739000.0
2040,,11931.33,739000.0,739000.0
