year,Base case diesel consumed,"Atka (unnamed stream, site #4) -- unnamed creek 4","Atka (unnamed stream, site #3) -- unnamed creek 3","Atka (unnamed stream, site #2) -- unnamed creek 2","Atka (unnamed stream, site #1) -- unnamed creek 1",Chuniisax creek (atka)
2020,2169.9993948,,,,,0.0
2021,2169.9993948,0.0,0.0,0.0,0.0,0.0
2022,2169.9993948,0.0,0.0,0.0,0.0,0.0
2023,2169.9993948,0.0,0.0,0.0,0.0,0.0
2024,2169.9993948,0.0,0.0,0.0,0.0,0.0
2025,2060.72356668,0.0,0.0,0.0,0.0,0.0
2026,2060.72356668,0.0,0.0,0.0,0.0,0.0
2027,2060.72356668,0.0,0.0,0.0,0.0,0.0
2028,2060.72356668,0.0,0.0,0.0,0.0,0.0
2029,2060.72356668,0.0,0.0,0.0,0.0,0.0
2030,1951.44773856,0.0,0.0,0.0,0.0,0.0
2031,1951.44773856,0.0,0.0,0.0,0.0,0.0
2032,1951.44773856,0.0,0.0,0.0,0.0,0.0
2033,1951.44773856,0.0,0.0,0.0,0.0,0.0
2034,1951.44773856,0.0,0.0,0.0,0.0,0.0
2035,1842.17191044,0.0,0.0,0.0,0.0,0.0
2036,1842.17191044,0.0,0.0,0.0,0.0,0.0
2037,1842.17191044,0.0,0.0,0.0,0.0,0.0
2038,1842.17191044,0.0,0.0,0.0,0.0,0.0
2039,1732.89608232,0.0,0.0,0.0,0.0,0.0
2040,1732.89608232,0.0,0.0,0.0,0.0,0.0
2041,1732.89608232,0.0,0.0,0.0,0.0,0.0
2042,1623.6202542,0.0,0.0,0.0,0.0,0.0
2043,1623.6202542,0.0,0.0,0.0,0.0,0.0
2044,1514.34442608,0.0,0.0,0.0,0.0,0.0
2045,1514.34442608,0.0,0.0,0.0,0.0,0.0
2046,1405.06859796,0.0,0.0,0.0,0.0,0.0
2047,1405.06859796,0.0,0.0,0.0,0.0,0.0
2048,1405.06859796,0.0,0.0,0.0,0.0,0.0
2049,1295.79276984,0.0,0.0,0.0,0.0,0.0
2050,1186.51694172,0.0,0.0,0.0,0.0,0.0
