year,Base case cost,Modeled water and wastewater efficiency
2017,59725.5968321,46647.7138628
2018,62537.7667991,48519.0604516
2019,66494.6625633,51151.8333065
2020,68349.8005547,52386.3542942
2021,69694.7101319,53281.3946256
2022,70658.5918803,53922.992577
2023,71364.7304545,54392.990565
2024,71944.192013,54778.7429938
2025,72586.2732969,55206.1036859
2026,73420.4560096,55761.2978588
2027,74126.4129761,56231.1514086
2028,74706.555694,56617.3695739
2029,75540.2275098,57172.1895553
2030,75993.509279,57474.0289565
2031,76828.2506426,58029.5950732
