year,Base case cost,Modeled biomass for heat (cordwood)
2017,44437.7416395,44956.8290048
2018,49518.8716395,49517.5258031
2019,56670.0916395,55936.28426
2020,57708.6977511,56627.9349038
2021,60059.4877511,58728.1459548
2022,61686.9577511,60182.1382209
2023,62952.7677511,61313.0210945
2024,61431.3338626,59675.9353835
2025,62472.1538626,60601.1035609
2026,63859.9138626,61834.6611307
2027,62316.9812974,60156.8014391
2028,63147.5812974,60891.0249203
2029,61619.887409,59209.1286017
2030,62413.687409,59906.5520829
2031,63683.767409,61022.4296528
2032,61942.6335205,59127.0933342
2033,63305.2335205,60316.2156003
2034,64667.8335205,61505.3378664
2035,65424.8335205,62165.9613476
2036,66787.4335205,63355.0836137
