year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,18819.0,16698.7165857
2018,18819.0,16698.7165857
2019,18819.0,16698.7165857
2020,18083.0,15962.7165857
2021,18083.0,15962.7165857
2022,18083.0,15962.7165857
2023,18083.0,15962.7165857
2024,17347.0,15226.7165857
2025,17347.0,15226.7165857
2026,17347.0,15226.7165857
2027,16612.0,14491.7165857
2028,16612.0,14491.7165857
2029,15876.0,13755.7165857
2030,15876.0,13755.7165857
2031,15876.0,13755.7165857
2032,15140.0,13019.7165857
2033,15140.0,13019.7165857
2034,15140.0,13019.7165857
2035,15140.0,13019.7165857
2036,15140.0,13019.7165857
