year,Base case diesel consumed,Modeled residential energy efficiency
2017,11421.6159594,8329.25550621
2018,11421.6159594,8329.25550621
2019,11421.6159594,8329.25550621
2020,10685.986012,7593.62555885
2021,10685.986012,7593.62555885
2022,10685.986012,7593.62555885
2023,10685.986012,7593.62555885
2024,9950.35606467,6857.9956115
2025,9950.35606467,6857.9956115
2026,9950.35606467,6857.9956115
2027,9214.72611731,6122.36566414
2028,9214.72611731,6122.36566414
2029,8479.09616995,5386.73571678
2030,8479.09616995,5386.73571678
2031,8479.09616995,5386.73571678
2032,7743.46622259,4651.10576942
2033,7743.46622259,4651.10576942
2034,7743.46622259,4651.10576942
2035,7743.46622259,4651.10576942
2036,7743.46622259,4651.10576942
