year,Base case cost,Modeled biomass for heat (pellet)
2017,44437.7416395,48693.5520383
2018,49518.8716395,53148.0515404
2019,56670.0916395,59440.6791009
2020,57708.6977511,60045.9889418
2021,60059.4877511,62070.7072777
2022,61686.9577511,63458.0990162
2023,62952.7677511,64527.3907845
2024,61431.3338626,62831.7688042
2025,62472.1538626,63699.5015975
2026,63859.9138626,64872.8438055
2027,62316.9812974,63137.7461677
2028,63147.5812974,63819.6120427
2029,61619.887409,62080.5767753
2030,62413.687409,62727.6216814
2031,63683.767409,63788.2929502
2032,61942.6335205,61838.6828162
2033,63305.2335205,62972.5143673
2034,64667.8335205,64107.2352062
2035,65424.8335205,64722.0358264
2036,66787.4335205,65858.4732009
