year,Base case diesel consumed,Modeled solar power
2020,66332.3943924,65179.0171684
2021,66645.2830452,65501.132839
2022,66801.7273716,65666.730367
2023,67036.3938612,65910.4768326
2024,67271.0603508,66154.1506585
2025,67505.7268404,66397.7524256
2026,67896.8376564,66797.7270369
2027,68131.504146,67041.1864115
2028,68366.1706356,67284.5754429
2029,68679.0592884,67606.1168573
2030,68913.725778,67849.3668863
2031,69304.836594,68248.9925734
2032,69617.7252468,68570.3279784
2033,69852.3917364,68813.3736461
2034,70165.2803892,69134.5744437
2035,70556.3912052,69533.9309072
2036,70791.0576948,69776.7770792
2037,71025.7241844,70019.5578137
2038,71338.6128371,70340.4957975
2039,71651.5014899,70661.3693866
