year,Base case cost,Modeled solar power
2020,204303.774729,209604.59659
2021,213264.905745,218267.509022
2022,219777.683053,224522.597268
2023,224571.919435,229098.726083
2024,228721.605193,233046.615382
2025,233569.814868,237686.799748
2026,240354.805304,244246.703067
2027,245273.414926,248967.196573
2028,249536.52282,253047.710751
2029,255486.100553,258797.666576
2030,259115.608925,262264.159433
2031,266130.572521,269077.938201
2032,272901.482967,275652.312055
2033,278711.043028,281280.275965
2034,286274.343988,288645.654824
2035,291397.895677,293616.709039
2036,298030.352895,300070.018479
2037,302569.585025,304464.468926
2038,309609.579713,311333.348729
2039,315266.606556,316843.072597
