year,Base case diesel consumed,"Eek, alaska heat recovery study"
2019,88514.0,84514.0
2020,89226.0,85226.0
2021,89938.0,85938.0
2022,90650.0,86650.0
2023,91361.0,87361.0
2024,91365.0,87365.0
2025,92078.0,88078.0
2026,93500.0,89500.0
2027,94213.0,90213.0
2028,94925.0,90925.0
2029,95638.0,91638.0
2030,96351.0,92351.0
2031,97773.0,93773.0
2032,98486.0,94486.0
2033,99199.0,95199.0
2034,99912.0,95912.0
2035,100626.0,96626.0
2036,101338.0,97338.0
2037,102051.0,98051.0
2038,102765.0,98765.0
