year,Base case cost,Modeled diesel efficiency
2019,3251722.50335,3916184.66271
2020,3449830.93664,4096283.23842
2021,3581660.88679,4216128.64765
2022,3687213.70443,4312085.7546
2023,3753292.80308,4372157.66246
2024,3806156.082,4420215.18875
2025,3872047.33609,4480116.32883
2026,3963591.92489,4563338.68229
2027,4027891.94967,4621793.25028
2028,4078339.53479,4667654.69129
2029,4155511.10446,4737810.66372
2030,4205620.82582,4783364.95586
2031,4281181.29185,4852056.28862
2032,4368921.54758,4931820.15746
2033,4442893.98984,4999067.83225
2034,4529819.39768,5078090.93029
2035,4589859.26182,5132672.62495
2036,4675934.56085,5210922.8968
2037,4722539.98753,5253291.4665
2038,4807742.73898,5330748.51328
