year,Base case cost,"Naknek (unnamed stream, site #1) -- unnamed creek"
2021,3581660.88679,3768907.60469
2022,3687213.70443,3874422.58161
2023,3753292.80308,3940478.0298
2024,3806156.082,3993322.38836
2025,3872047.33609,4059189.992
2026,3963591.92489,4150701.47017
2027,4027891.94967,4214977.8445
2028,4078339.53479,4265406.50925
2029,4155511.10446,4342549.69839
2030,4205620.82582,4392640.49938
2031,4281181.29185,4468172.58487
2032,4368921.54758,4555879.72996
2033,4442893.98984,4629823.79169
2034,4529819.39768,4716716.0889
2035,4589859.26182,4776732.30258
2036,4675934.56085,4862774.49098
2037,4722539.98753,4909360.99729
2038,4807742.73898,4994530.63811
2039,4866608.73492,5053372.9836
2040,4964147.06523,5150873.47319
2041,4957063.46628,5143789.87424
2042,4950224.12936,5136950.53732
2043,4943140.5304,5129866.93836
2044,4936301.19348,5123027.60144
2045,4929461.85656,5116188.26452
2046,4922622.51964,5109348.9276
2047,4915783.18272,5102509.59068
2048,4908943.8458,5095670.25376
2049,4902348.77091,5089075.17887
2050,4895753.69602,5082480.10398
