year,Base case diesel consumed,Modeled solar power (pv)
2016,46542.677213,46156.8841575
2017,46629.4490487,46246.7423376
2018,46716.2208843,46336.5758269
2019,46716.2208843,46339.6129874
2020,46802.99272,46429.3976862
2021,46889.7645557,46519.1582822
2022,46889.7645557,46522.1231323
2023,46976.5363913,46611.8360994
2024,46976.5363913,46614.7537017
2025,47063.308227,46704.4197989
2026,47063.308227,46707.2909063
2027,47150.0800627,46796.9108806
2028,47236.8518983,46886.5080697
2029,47323.623734,46976.082656
2030,47323.623734,46978.8629846
2031,47410.3955697,47068.3929063
2032,47497.1674053,47157.9007632
2033,47583.939241,47247.386732
2034,47583.939241,47250.0791521
2035,47670.7110766,47339.5218685
