year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,70816.9760307,52404.5622627
2018,70816.9760307,52404.5622627
2019,70816.9760307,52404.5622627
2020,70816.9760307,52404.5622627
2021,70816.9760307,52404.5622627
2022,70816.9760307,52404.5622627
2023,70816.9760307,52404.5622627
2024,70816.9760307,52404.5622627
2025,70816.9760307,52404.5622627
2026,70816.9760307,52404.5622627
2027,70816.9760307,52404.5622627
2028,70816.9760307,52404.5622627
2029,70816.9760307,52404.5622627
2030,70816.9760307,52404.5622627
2031,70816.9760307,52404.5622627
