year,Base case diesel consumed,Modeled residential ashp
2017,98522.8597728,55259.9414659
2018,100489.286598,57226.3682911
2019,100489.286598,57226.3682911
2020,100489.286598,57226.3682911
2021,102455.713423,59192.7951163
2022,102455.713423,59192.7951163
2023,104422.140248,61159.2219415
2024,104422.140248,61159.2219415
2025,104422.140248,61159.2219415
2026,106388.567074,63125.6487667
2027,106388.567074,63125.6487667
2028,108354.993899,65092.0755919
2029,108354.993899,65092.0755919
2030,110321.420724,67058.5024171
2031,110321.420724,67058.5024171
