year,Base case cost,Point lay wind generation design,Modeled wind power
2019,921894.475572,776206.974326,1119275.29418
2020,976781.589805,813784.968484,1156511.12048
2021,1014609.47847,839496.473096,1181983.1076
2022,1041534.69132,857767.125905,1200082.67648
2023,1060088.08204,870262.324605,1212458.11643
2024,1075535.28407,880516.790607,1222609.93207
2025,1094020.441,892943.755506,1234917.13822
2026,1118007.72349,909141.933967,1250961.34115
2027,1136423.09585,921499.114297,1263198.76273
2028,1151719.87336,931603.155784,1273200.15386
2029,1172826.60392,945786.238319,1287246.36925
2030,1182867.05262,952364.863005,1293756.56037
2031,1206663.59063,968372.296977,1309610.0188
2032,1230418.25789,984337.860207,1325421.6065
2033,1253777.47927,999907.977547,1340837.7483
2034,1277080.87299,1015422.26723,1356198.06245
2035,1292463.71813,1025612.37635,1366285.52122
2036,1315671.73961,1041031.29379,1381550.46312
2037,1330987.12634,1051153.9445,1391570.46347
2038,1354483.5907,1066861.30482,1407123.84826
