year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.0
2003,,1.38,1.45
2004,,1.46,
2005,,2.08,
2006,,2.62,1.45
2008,,,1.75
2009,,3.03,1.9
2010,,3.93,1.45
2011,,4.43,1.45
2012,,3.96,1.45
2013,,4.32,1.45
2014,,,1.45
2016,start of forecast,2.17,2.17
2017,,2.59,2.59
2018,,2.89,2.89
2019,,3.31,3.31
2020,,3.51,3.51
2021,,3.65,3.65
2022,,3.75,3.75
2023,,3.82,3.82
2024,,3.88,3.88
2025,,3.95,3.95
2026,,4.04,4.04
2027,,4.11,4.11
2028,,4.17,4.17
2029,,4.25,4.25
2030,,4.29,4.29
2031,,4.38,4.38
2032,,4.47,4.47
2033,,4.56,4.56
2034,,4.65,4.65
2035,,4.71,4.71
2036,,4.8,4.8
2037,,4.86,4.86
2038,,4.95,4.95
2039,,5.02,5.02
2040,,5.13,5.13
