year,Base case diesel consumed,Point lay wind generation design,Modeled wind power
2019,278517.968451,195996.029298,194364.730024
2020,278285.353221,195763.414068,194132.114794
2021,277975.199581,195453.260428,193821.961155
2022,277742.584351,195220.645198,193589.345925
2023,277509.969122,194988.029969,193356.730695
2024,277199.815482,194677.876329,193046.577055
2025,276967.200252,194445.261099,192813.961826
2026,276734.585022,194212.645869,192581.346596
2027,276501.969793,193980.03064,192348.731366
2028,276191.816153,193669.877,192038.577726
2029,275959.200923,193437.26177,191805.962497
2030,275726.585693,193204.64654,191573.347267
2031,275493.970464,192972.031311,191340.732037
2032,275261.355234,192739.416081,191108.116807
2033,274951.201594,192429.262441,190797.963168
2034,274641.047954,192119.108801,190487.809528
2035,274408.432725,191886.493572,190255.194298
2036,274098.279085,191576.339932,189945.040658
2037,273865.663855,191343.724702,189712.425429
2038,273633.048625,191111.109472,189479.810199
