year,Base case cost,Modeled solar power (pv)
2016,606403.091732,643042.380734
2017,722968.134141,758151.36625
2018,805813.272841,839994.88251
2019,921894.475572,954663.902363
2020,976781.589805,1008939.0014
2021,1014609.47847,1046375.61044
2022,1041534.69132,1073055.60255
2023,1060088.08204,1091471.93422
2024,1075535.28407,1106819.30166
2025,1094020.441,1125173.14024
2026,1118007.72349,1148964.74965
2027,1136423.09585,1167255.20388
2028,1151719.87336,1182463.04829
2029,1172826.60392,1203417.44421
2030,1182867.05262,1213439.23338
2031,1206663.59063,1237056.66506
2032,1230418.25789,1260635.98645
2033,1253777.47927,1283823.5737
2034,1277080.87299,1306958.99687
2035,1292463.71813,1322271.40433
