year,Base case diesel consumed,Modeled non-residential ashp
2017,66717.2376525,44705.9825923
2018,68026.3019201,46015.0468599
2019,69335.3661876,47324.1111274
2020,69335.3661876,47324.1111274
2021,70644.4304552,48633.175395
2022,71953.4947228,49942.2396626
2023,73262.5589904,51251.3039302
2024,74571.623258,52560.3681978
2025,74571.623258,52560.3681978
2026,75880.6875255,53869.4324653
2027,77189.7517931,55178.4967329
2028,78498.8160607,56487.5610005
2029,79807.8803283,57796.6252681
2030,79807.8803283,57796.6252681
2031,81116.9445959,59105.6895357
