year,Base case diesel consumed,Modeled residential ashp
2017,14220.3410147,-74752.2031556
2018,14393.117602,-74579.4265684
2019,14738.6707764,-74233.8733939
2020,14911.4473636,-74061.0968067
2021,15084.2239508,-73888.3202195
2022,15257.0005381,-73715.5436323
2023,15429.7771253,-73542.767045
2024,15602.5537125,-73369.9904578
2025,16120.8834742,-72851.6606962
2026,16293.6600614,-72678.8841089
2027,16466.4366486,-72506.1075217
2028,16639.2132358,-72333.3309345
2029,16984.7664103,-71987.77776
2030,17157.5429975,-71815.0011728
2031,17330.3195847,-71642.2245856
