year,Base case diesel consumed,Modeled transmission and interties
2021,229347.234991,114673.617496
2022,232112.41442,116056.20721
2023,234389.621009,117194.810504
2024,236666.827597,118333.413799
2025,241383.898388,120691.949194
2026,244149.077817,122074.538909
2027,246914.257246,123457.128623
2028,249191.463835,124595.731917
2029,252119.300877,126059.650438
2030,255209.795533,127604.897766
2031,258137.632575,129068.816288
2032,261065.469618,130532.734809
2033,263993.30666,131996.65333
2034,267409.116543,133704.558272
2035,270011.638359,135005.819179
2036,273264.790628,136632.395314
2037,276192.62767,138096.313835
2038,279283.122326,139641.561163
2039,283024.247436,141512.123718
2040,286277.399705,143138.699853
