year,Base case cost,Modeled biomass for heat (cordwood)
2017,288158.561511,308831.756525
2018,311452.561511,324955.485923
2019,342715.561511,346997.39856
2020,357427.561511,356826.436922
2021,367848.561511,363507.237396
2022,375204.561511,367945.746272
2023,380721.561511,371047.92336
2024,385012.561511,373266.480327
2025,389916.561511,375960.664379
2026,396659.561511,380036.473974
2027,402176.561511,383227.090566
2028,406467.561511,385532.014237
2029,411984.561511,388763.802098
2030,415662.561511,390655.670762
2031,422405.561511,394833.245266
2032,,
2033,,
2034,,
2035,,
2036,,
