year,Base case diesel consumed,Modeled wind power
2019,75672.7555869,62468.4953953
2020,75672.7555869,62468.4953953
2021,75745.1004775,62540.840286
2022,75745.1004775,62540.840286
2023,75745.1004775,62540.840286
2024,75745.1004775,62540.840286
2025,75745.1004775,62540.840286
2026,75817.4453681,62613.1851766
2027,75817.4453681,62613.1851766
2028,75817.4453681,62613.1851766
2029,75889.7902587,62685.5300672
2030,75889.7902587,62685.5300672
2031,75962.1351493,62757.8749578
2032,75962.1351493,62757.8749578
2033,76034.48004,62830.2198484
2034,76034.48004,62830.2198484
2035,76034.48004,62830.2198484
2036,76106.8249306,62902.5647391
2037,76106.8249306,62902.5647391
2038,76106.8249306,62902.5647391
