year,Base case cost,Modeled wind power
2019,305717.932571,493251.251989
2020,323879.393912,503919.1932
2021,337065.697125,510512.046469
2022,346155.109182,513680.377075
2023,352972.168225,515021.08318
2024,358274.325259,515176.570528
2025,364333.933297,516079.136774
2026,373021.831211,519372.157367
2027,379845.401294,521123.348749
2028,385152.62247,521678.406323
2029,392350.215638,523991.683069
2030,396903.603053,524089.095976
2031,405637.801697,527893.25935
2032,413993.636564,531405.593876
2033,421991.364222,534756.8624
2034,431115.501827,539091.998025
2035,436437.915429,540268.67401
2036,445224.925844,544538.511859
2037,450552.403589,545875.813462
2038,458924.154331,549882.307151
