year,Base case cost,Modeled solar power (pv)
2016,200341.088345,209372.401103
2017,238141.293693,246258.550801
2018,267124.827222,274505.830089
2019,305717.932571,312203.765524
2020,323879.393912,329842.921623
2021,337065.697125,342609.140665
2022,346155.109182,351352.321777
2023,352972.168225,357869.505428
2024,358274.325259,362904.277438
2025,364333.933297,368690.19829
2026,373021.831211,377073.12021
2027,379845.401294,383623.568511
2028,385152.62247,388688.780533
2029,392350.215638,395625.642549
2030,396903.603053,399960.929901
2031,405637.801697,408422.007339
2032,413993.636564,416510.950937
2033,421991.364222,424259.777298
2034,431115.501827,433117.213284
2035,436437.915429,438237.462165
