year,annotation,diesel generation efficiency
2002,,12.97
2003,,12.96
2004,,13.77
2005,,13.54
2006,,13.19
2007,,12.91
2008,,13.83
2009,,13.72
2010,,13.62
2011,,13.48
2012,,13.42
2013,,13.65
2014,,14.08
2015,,13.74
2016,start of forecast,13.82
2017,,13.82
2018,,13.82
2019,,13.82
2020,,13.82
2021,,13.82
2022,,13.82
2023,,13.82
2024,,13.82
2025,,13.82
2026,,13.82
2027,,13.82
2028,,13.82
2029,,13.82
2030,,13.82
2031,,13.82
2032,,13.82
2033,,13.82
2034,,13.82
2035,,13.82
2036,,13.82
2037,,13.82
2038,,13.82
2039,,13.82
2040,,13.82
