year,Base case diesel consumed,Modeled diesel efficiency
2019,75672.7555869,68793.4141699
2020,75672.7555869,68793.4141699
2021,75745.1004775,68859.1822523
2022,75745.1004775,68859.1822523
2023,75745.1004775,68859.1822523
2024,75745.1004775,68859.1822523
2025,75745.1004775,68859.1822523
2026,75817.4453681,68924.9503346
2027,75817.4453681,68924.9503346
2028,75817.4453681,68924.9503346
2029,75889.7902587,68990.718417
2030,75889.7902587,68990.718417
2031,75962.1351493,69056.4864994
2032,75962.1351493,69056.4864994
2033,76034.48004,69122.2545818
2034,76034.48004,69122.2545818
2035,76034.48004,69122.2545818
2036,76106.8249306,69188.0226642
2037,76106.8249306,69188.0226642
2038,76106.8249306,69188.0226642
