year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12509.0429281,10898.651187
2018,12509.4253792,10898.984402
2019,12510.2148351,10899.6722248
2020,12510.7777027,10900.1626299
2021,12511.3252243,10900.6396645
2022,12511.5304615,10900.8184798
2023,12511.6258741,10900.9016091
2024,12511.8301771,10901.0796106
2025,12512.1368319,10901.3467872
2026,12512.9752618,10902.0772791
2027,12513.7445677,10902.7475459
2028,12514.6543902,10903.5402395
2029,12515.6606929,10904.4169927
2030,12516.5403571,10905.1834104
2031,12517.2912476,10905.8376327
