year,Base case cost,Modeled diesel efficiency
2019,305717.932571,486620.598135
2020,323879.393912,498239.723671
2021,337065.697125,505450.617881
2022,346155.109182,509049.018416
2023,352972.168225,510690.972433
2024,358274.325259,511062.50933
2025,364333.933297,512226.902258
2026,373021.831211,515882.470131
2027,379845.401294,517942.628603
2028,385152.62247,518721.391652
2029,392350.215638,521313.502455
2030,396903.603053,521594.395068
2031,405637.801697,525766.459911
2032,413993.636564,529682.872923
2033,421991.364222,533359.979224
2034,431115.501827,538145.318548
2035,436437.915429,539556.795074
2036,445224.925844,544198.227278
2037,450552.403589,545773.069463
2038,458924.154331,550192.033795
