year,Base case diesel consumed,Modeled solar power (pv)
2016,75600.4106962,74237.6485671
2017,75600.4106962,74248.5506641
2018,75672.7555869,74331.710435
2019,75672.7555869,74342.4387962
2020,75672.7555869,74353.0813305
2021,75745.1004775,74435.9836152
2022,75745.1004775,74446.4565501
2023,75745.1004775,74456.8457015
2024,75745.1004775,74467.1517397
2025,75745.1004775,74477.3753296
2026,75817.4453681,74559.8620214
2027,75817.4453681,74569.9226882
2028,75817.4453681,74579.9028696
2029,75889.7902587,74662.1481002
2030,75889.7902587,74671.9692375
2031,75962.1351493,74754.0566963
2032,75962.1351493,74763.7213239
2033,76034.48004,74845.6535251
2034,76034.48004,74855.1641373
2035,76034.48004,74864.5986645
