year,Base case cost,"Nulato (west tributary nulato river) -- nulato river, west tributary","Koyukuk (east tributary nulato river) -- nulato river, east tributary"
2021,337065.697125,1624035.83072,1762473.30188
2022,346155.109182,1603356.1965,1738503.49819
2023,352972.168225,1581651.26703,1713655.94152
2024,358274.325259,1559461.4144,1688443.4625
2025,364333.933297,1538438.14843,1664438.25804
2026,373021.831211,1520033.8666,1643039.35503
2027,379845.401294,1500752.25322,1620878.4381
2028,385152.62247,1480927.62595,1598288.33644
2029,392350.215638,1463145.13175,1577749.12383
2030,396903.603053,1443867.45545,1555851.59007
2031,405637.801697,1428290.42562,1537582.93835
2032,413993.636564,1412852.73334,1519510.03046
2033,421991.364222,1397764.55956,1501867.63022
2034,431115.501827,1383892.39791,1485443.22554
2035,436437.915429,1367710.95,1466891.59152
2036,445224.925844,1354656.71284,1451414.8499
2037,450552.403589,1339410.98683,1433900.33784
2038,458924.154331,1326850.33526,1419016.20529
2039,465773.768575,1313610.17373,1403552.15055
2040,475667.655816,1303034.28488,1390695.40709
2041,475667.655816,1285609.4611,1371372.05698
2042,475667.655816,1268593.03161,1352501.59788
2043,475667.655816,1251975.42475,1334073.41525
2044,476119.811382,1236199.44856,1316529.29864
2045,475667.655816,1219899.50814,1298502.65859
2046,475667.655816,1204423.15572,1281340.07607
2047,475667.655816,1189309.53035,1264579.74162
2048,475667.655816,1174550.13058,1248212.22751
2049,475667.655816,1160136.6541,1232228.32686
2050,475667.655816,1146060.99357,1216619.04899
2051,475667.655816,1132315.23135,1201375.61359
2052,475667.655816,1118891.63543,1186489.4462
2053,475667.655816,1105782.65509,1171952.17341
2054,475667.655816,1092980.91637,1157755.61783
2055,475667.655816,1080479.21843,1143891.79407
2056,475667.655816,1068270.52906,1130352.90369
2057,475667.655816,1056347.98086,1117131.33107
2058,475667.655816,1044704.86733,1104219.639
2059,475667.655816,1033334.63937,1091610.56483
2060,475667.655816,1022230.90105,1079297.01574
2061,475667.655816,1011387.40661,1067272.06547
2062,475667.655816,1000798.05657,1055528.94998
2063,475667.655816,990456.894392,1044061.06372
2064,475667.655816,980358.103297,1032861.95615
2065,475667.655816,970496.002543,1021925.32758
2066,475667.655816,960865.044742,1011245.0262
2067,475667.655816,951459.812594,1000815.04448
2068,475667.655816,942275.015498,990629.51537
2069,475667.655816,933305.487109,980682.709625
2070,475667.655816,924546.182066,970969.032167
