year,Base case diesel consumed,"Nulato (west tributary nulato river) -- nulato river, west tributary","Koyukuk (east tributary nulato river) -- nulato river, east tributary"
2021,75745.1004775,53350.3995656,50479.284064
2022,75745.1004775,53350.3995656,50479.284064
2023,75745.1004775,53350.3995656,50479.284064
2024,75745.1004775,53350.3995656,50479.284064
2025,75745.1004775,53350.3995656,50479.284064
2026,75817.4453681,53422.7444562,50551.6289547
2027,75817.4453681,53422.7444562,50551.6289547
2028,75817.4453681,53422.7444562,50551.6289547
2029,75889.7902587,53495.0893468,50623.9738453
2030,75889.7902587,53495.0893468,50623.9738453
2031,75962.1351493,53567.4342374,50696.3187359
2032,75962.1351493,53567.4342374,50696.3187359
2033,76034.48004,53639.779128,50768.6636265
2034,76034.48004,53639.779128,50768.6636265
2035,76034.48004,53639.779128,50768.6636265
2036,76106.8249306,53712.1240187,50841.0085171
2037,76106.8249306,53712.1240187,50841.0085171
2038,76106.8249306,53712.1240187,50841.0085171
2039,76106.8249306,53712.1240187,50841.0085171
2040,76106.8249306,53712.1240187,50841.0085171
2041,76106.8249306,53712.1240187,50841.0085171
2042,76106.8249306,53712.1240187,50841.0085171
2043,76106.8249306,53712.1240187,50841.0085171
2044,76179.1698212,53784.4689093,50913.3534078
2045,76106.8249306,53712.1240187,50841.0085171
2046,76106.8249306,53712.1240187,50841.0085171
2047,76106.8249306,53712.1240187,50841.0085171
2048,76106.8249306,53712.1240187,50841.0085171
2049,76106.8249306,53712.1240187,50841.0085171
2050,76106.8249306,53712.1240187,50841.0085171
2051,76106.8249306,53712.1240187,50841.0085171
2052,76106.8249306,53712.1240187,50841.0085171
2053,76106.8249306,53712.1240187,50841.0085171
2054,76106.8249306,53712.1240187,50841.0085171
2055,76106.8249306,53712.1240187,50841.0085171
2056,76106.8249306,53712.1240187,50841.0085171
2057,76106.8249306,53712.1240187,50841.0085171
2058,76106.8249306,53712.1240187,50841.0085171
2059,76106.8249306,53712.1240187,50841.0085171
2060,76106.8249306,53712.1240187,50841.0085171
2061,76106.8249306,53712.1240187,50841.0085171
2062,76106.8249306,53712.1240187,50841.0085171
2063,76106.8249306,53712.1240187,50841.0085171
2064,76106.8249306,53712.1240187,50841.0085171
2065,76106.8249306,53712.1240187,50841.0085171
2066,76106.8249306,53712.1240187,50841.0085171
2067,76106.8249306,53712.1240187,50841.0085171
2068,76106.8249306,53712.1240187,50841.0085171
2069,76106.8249306,53712.1240187,50841.0085171
2070,76106.8249306,53712.1240187,50841.0085171
