year,Base case diesel consumed,Modeled transmission and interties
2021,75745.1004775,0.0
2022,75745.1004775,0.0
2023,75745.1004775,0.0
2024,75745.1004775,0.0
2025,75745.1004775,0.0
2026,75817.4453681,0.0
2027,75817.4453681,0.0
2028,75817.4453681,0.0
2029,75889.7902587,0.0
2030,75889.7902587,0.0
2031,75962.1351493,0.0
2032,75962.1351493,0.0
2033,76034.48004,0.0
2034,76034.48004,0.0
2035,76034.48004,0.0
2036,76106.8249306,0.0
2037,76106.8249306,0.0
2038,76106.8249306,0.0
2039,76106.8249306,0.0
2040,76106.8249306,0.0
