year,annotation,line losses
2002,,0.076
2003,,0.069
2004,,0.048
2005,,-6.242
2006,,-inf
2007,,-inf
2008,,-inf
2009,,-1.797
2010,,0.176
2011,,0.197
2012,,0.154
2013,,0.172
2016,start of forecast,0.1745
2017,,0.1745
2018,,0.1745
2019,,0.1745
2020,,0.1745
2021,,0.1745
2022,,0.1745
2023,,0.1745
2024,,0.1745
2025,,0.1745
2026,,0.1745
2027,,0.1745
2028,,0.1745
2029,,0.1745
2030,,0.1745
2031,,0.1745
2032,,0.1745
2033,,0.1745
2034,,0.1745
2035,,0.1745
2036,,0.1745
2037,,0.1745
2038,,0.1745
2039,,0.1745
2040,,0.1745
