year,Base case diesel consumed,Modeled non-residential ashp
2017,20964.7050822,7422.45652964
2018,20964.7050822,7422.45652964
2019,20964.7050822,7422.45652964
2020,20964.7050822,7422.45652964
2021,20964.7050822,7422.45652964
2022,20964.7050822,7422.45652964
2023,18994.67438,5452.42582742
2024,18994.67438,5452.42582742
2025,18994.67438,5452.42582742
2026,18994.67438,5452.42582742
2027,18994.67438,5452.42582742
2028,18994.67438,5452.42582742
2029,18994.67438,5452.42582742
2030,18994.67438,5452.42582742
2031,18994.67438,5452.42582742
