year,Base case diesel consumed,Modeled residential energy efficiency
2017,58801.4576041,42867.1517481
2018,58801.4576041,42867.1517481
2019,58065.8276567,42131.5218008
2020,57330.1977094,41395.8918534
2021,57330.1977094,41395.8918534
2022,56594.567762,40660.2619061
2023,55858.9378147,39924.6319587
2024,54387.6779199,38453.372064
2025,53652.0479726,37717.7421166
2026,52916.4180252,36982.1121693
2027,52180.7880779,36246.4822219
2028,51445.1581305,35510.8522746
2029,49238.2682884,33303.9624325
2030,47767.0083937,31832.7025378
2031,46295.748499,30361.4426431
