year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,60160.38,4879.7,27257.08,58801.46
2018,60699.44,4879.64,27257.08,58801.46
2019,63179.65,4876.26,27257.08,58065.83
2020,61454.31,4872.75,27257.08,57330.2
2021,61849.68,4869.74,27257.08,57330.2
2022,62197.16,4864.66,27257.08,56594.57
2023,61833.72,4858.78,27257.08,55858.94
2024,62068.01,4851.41,27257.08,54387.68
2025,62104.84,4844.37,27257.08,53652.05
2026,62038.13,4837.85,27257.08,52916.42
2027,62070.32,4832.76,27257.08,52180.79
2028,62178.92,4827.7,27257.08,51445.16
2029,62167.67,4812.7,27257.08,49238.27
2030,62282.73,4800.26,27257.08,47767.01
2031,62281.65,4790.63,27257.08,46295.75
