year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2749.98931689,1957.86173341
2018,2763.86978236,1967.74396531
2019,2774.51756205,1975.32467855
2020,2787.46805487,1984.54481412
2021,2798.06952943,1992.0925603
2022,2808.3760923,1999.43034337
2023,2818.45286426,2006.60452622
2024,2827.82304917,2013.27565267
2025,2839.08493907,2021.2935832
2026,2850.31920603,2029.2918475
2027,2865.55679902,2040.14028972
2028,2877.6443082,2048.74602195
2029,2892.74832354,2059.49936323
2030,2909.41176782,2071.36294383
2031,2921.14978663,2079.71985552
