year,Base case cost,Modeled biomass for heat (cordwood)
2017,190709.908379,243919.504372
2018,212516.188379,260043.4073
2019,243206.508379,282736.307718
2020,257744.028379,293485.576337
2021,268243.348379,301248.937006
2022,275512.108379,306623.571316
2023,281165.588379,310803.842445
2024,286011.428379,314386.931985
2025,290857.268379,317970.021525
2026,297318.388379,322747.474244
2027,302971.868379,326927.745374
2028,307010.068379,329913.653324
2029,313471.188379,334691.106043
2030,317509.388379,337677.013993
2031,323970.508379,342454.466712
2032,,
2033,,
2034,,
2035,,
2036,,
