year,Base case diesel consumed,Modeled non-residential ashp
2017,60078.458356,42054.9208672
2018,60078.458356,42054.9208672
2019,60078.458356,42054.9208672
2020,60078.458356,42054.9208672
2021,60078.458356,42054.9208672
2022,60078.458356,42054.9208672
2023,60078.458356,42054.9208672
2024,60078.458356,42054.9208672
2025,60078.458356,42054.9208672
2026,60078.458356,42054.9208672
2027,60078.458356,42054.9208672
2028,60078.458356,42054.9208672
2029,60078.458356,42054.9208672
2030,60078.458356,42054.9208672
2031,60078.458356,42054.9208672
