year,Base case cost,Modeled non-residential energy efficiency
2017,522413.243438,544944.950666
2018,552628.754677,570458.24092
2019,594747.346101,606825.048858
2020,613975.398708,622450.429547
2021,627709.721999,633130.295303
2022,637781.559079,640526.474675
2023,644190.909947,644637.983624
2024,650600.260816,648789.533619
2025,657009.611685,652980.186192
2026,665250.20566,658871.861099
2027,672575.178081,663969.40903
2028,678984.52895,668271.955967
2029,686309.501372,673441.484597
2030,690887.609135,676151.488967
2031,700043.824663,683052.499976
