year,Base case cost,Modeled water and wastewater efficiency
2017,69035.7656654,38408.2405045
2018,72835.3495032,40301.9037359
2019,78115.1424442,42970.2662621
2020,80575.8003355,44168.3100588
2021,82362.4650537,45016.2303115
2022,83700.2090698,45631.535022
2023,84587.672248,46013.5030138
2024,85477.8508401,46398.6274171
2025,86370.1570072,46786.5821064
2026,87491.9646455,47296.0339741
2027,88501.8281613,47748.6990714
2028,89399.7167913,48144.5176149
2029,90415.6355858,48603.4361199
2030,91090.6888702,48885.9734416
2031,92340.7693139,49470.0712682
