year,Base case cost,Modeled biomass for heat (cordwood)
2017,130042.547918,165128.259283
2018,144725.417918,175251.540617
2019,165934.007918,190217.234253
2020,175722.587918,196755.577721
2021,182792.117918,201299.80644
2022,187686.407918,204251.637971
2023,191493.077918,206414.900691
2024,194755.937918,208191.329964
2025,198018.797918,209982.669741
2026,202369.277918,212592.774166
2027,206175.947918,214814.996555
2028,209438.807918,216649.00363
2029,213789.287918,219300.775337
2030,215964.527918,220357.383017
2031,220858.817918,223437.43252
2032,,
2033,,
2034,,
2035,,
2036,,
