year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,54381.0,38793.0985414
2018,54381.0,38793.0985414
2019,54381.0,38793.0985414
2020,54381.0,38793.0985414
2021,54381.0,38793.0985414
2022,54381.0,38793.0985414
2023,54381.0,38793.0985414
2024,54381.0,38793.0985414
2025,54381.0,38793.0985414
2026,54381.0,38793.0985414
2027,54381.0,38793.0985414
2028,54381.0,38793.0985414
2029,54381.0,38793.0985414
2030,54381.0,38793.0985414
2031,54381.0,38793.0985414
2032,,
2033,,
2034,,
2035,,
2036,,
