year,Base case cost,"Chatham (chatham creek; 57.31, 134.57)",Thayer lake hydropower development (tlhd) generation -- thayer creek
2020,391753.832377,,1113928.66606
2021,409793.826878,1293632.23267,1102619.74187
2022,422424.458528,1286980.91646,1089508.32889
2023,432248.283145,1278181.18937,1075606.65793
2024,440438.830117,1268281.14959,1061288.10112
2025,448854.858718,1259014.36009,1047611.50023
2026,460076.230186,1252720.30515,1035567.11137
2027,469649.682344,1245282.61927,1023061.90614
2028,478061.318446,1237178.29136,1010572.6788
2029,489276.833248,1232017.88573,999686.267223
2030,494884.590649,1222073.53348,986721.689999
2031,507237.030679,1218650.49737,976913.419158
2032,518446.688816,1214545.48274,967105.05583
2033,530780.094682,1211786.10413,957975.0178
2034,543100.323051,1209342.94099,949168.227452
2035,551210.340869,1203357.46959,938849.533099
2036,563801.440026,1201820.98347,930962.994056
2037,570497.805163,1195158.17384,920654.729589
2038,584174.583723,1195198.30921,913683.245431
2039,593646.276315,1191672.14798,905175.247115
2040,607614.423993,1192581.91493,899085.740133
2041,607295.967796,1180638.18348,886893.812934
2042,606977.511599,1168966.91941,874980.17026
2043,606659.055402,1157561.73683,863338.289726
2044,606340.599205,1146416.39935,851961.801993
2045,606022.143008,1135524.81694,840844.48686
2046,605703.686811,1124881.04217,829980.270009
2047,605385.230614,1114479.26707,819363.219423
2048,605066.774416,1104313.81976,808987.542049
2049,604748.318219,1094379.16122,798847.580864
2050,604111.405825,1084351.42628,788619.355019
2051,604111.405825,1075180.70116,779252.837971
2052,604111.405825,1066224.9149,770105.8487
2053,604111.405825,1057479.02991,761173.241915
2054,604111.405825,1048938.12653,752449.99313
2055,604111.405825,1040597.4006,743931.195496
2056,604111.405825,1032452.16044,735612.057193
2057,604111.405825,1024497.82436,727487.89866
2058,604111.405825,1016729.918,719554.150158
2059,604111.405825,1009144.072,711806.348834
2060,604111.405825,1001736.01923,704240.136608
2061,604111.405825,994501.59269,696851.257486
2062,604111.405825,987436.723028,689635.555195
2063,604111.405825,980537.436228,682588.970992
2064,604111.405825,973799.851525,675707.541054
2065,604111.405825,967220.178914,668987.394608
2066,604111.405825,960794.717357,662424.751649
2067,604111.405825,954519.852608,656015.920581
2068,604111.405825,948392.054951,649757.296508
2069,604111.405825,942407.877569,643645.358955
2070,604111.405825,936563.95436,
