year,Base case diesel consumed,Modeled solar power (pv)
2016,140559.976634,138700.794155
2017,140486.768313,138642.459294
2018,140486.768313,138657.213766
2019,140413.559992,138598.641881
2020,140413.559992,138613.161226
2021,140340.35167,138554.356095
2022,140340.35167,138568.64406
2023,140340.35167,138582.817721
2024,140267.143349,138523.669671
2025,140267.143349,138537.617461
2026,140267.143349,138551.453668
2027,140193.935028,138491.970864
2028,140193.935028,138505.586577
2029,140193.935028,138519.093365
2030,140193.935028,138532.492098
2031,140120.726707,138472.57532
2032,140120.726707,138485.760532
2033,140047.518386,138425.63194
2034,139974.310065,138365.39871
2035,139901.101743,138305.06168
