year,Base case diesel consumed,"Chatham (chatham creek; 57.31, 134.57)",Thayer lake hydropower development (tlhd) generation -- thayer creek
2020,140413.559992,,52804.3451968
2021,140340.35167,127540.392102,52731.1368756
2022,140340.35167,127540.392102,52731.1368756
2023,140340.35167,127540.392102,52731.1368756
2024,140267.143349,127467.18378,52657.9285545
2025,140267.143349,127467.18378,52657.9285545
2026,140267.143349,127467.18378,52657.9285545
2027,140193.935028,127393.975459,52584.7202333
2028,140193.935028,127393.975459,52584.7202333
2029,140193.935028,127393.975459,52584.7202333
2030,140193.935028,127393.975459,52584.7202333
2031,140120.726707,127320.767138,52511.5119121
2032,140120.726707,127320.767138,52511.5119121
2033,140047.518386,127247.558817,52438.303591
2034,139974.310065,127174.350496,52365.0952698
2035,139901.101743,127101.142175,52291.8869487
2036,139901.101743,127101.142175,52291.8869487
2037,139827.893422,127027.933853,52218.6786275
2038,139754.685101,126954.725532,52145.4703063
2039,139681.47678,126881.517211,52072.2619852
2040,139681.47678,126881.517211,52072.2619852
2041,139608.268459,126808.30889,51999.053664
2042,139535.060138,126735.100569,51925.8453428
2043,139461.851816,126661.892248,51852.6370217
2044,139388.643495,126588.683926,51779.4287005
2045,139315.435174,126515.475605,51706.2203793
2046,139242.226853,126442.267284,51633.0120582
2047,139169.018532,126369.058963,51559.803737
2048,139095.810211,126295.850642,51486.5954159
2049,139022.60189,126222.642321,51413.3870947
2050,138876.185247,126076.225678,51266.9704524
2051,138876.185247,126076.225678,51266.9704524
2052,138876.185247,126076.225678,51266.9704524
2053,138876.185247,126076.225678,51266.9704524
2054,138876.185247,126076.225678,51266.9704524
2055,138876.185247,126076.225678,51266.9704524
2056,138876.185247,126076.225678,51266.9704524
2057,138876.185247,126076.225678,51266.9704524
2058,138876.185247,126076.225678,51266.9704524
2059,138876.185247,126076.225678,51266.9704524
2060,138876.185247,126076.225678,51266.9704524
2061,138876.185247,126076.225678,51266.9704524
2062,138876.185247,126076.225678,51266.9704524
2063,138876.185247,126076.225678,51266.9704524
2064,138876.185247,126076.225678,51266.9704524
2065,138876.185247,126076.225678,51266.9704524
2066,138876.185247,126076.225678,51266.9704524
2067,138876.185247,126076.225678,51266.9704524
2068,138876.185247,126076.225678,51266.9704524
2069,138876.185247,126076.225678,51266.9704524
2070,138876.185247,126076.225678,
