year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.46
2004,,1.46,1.98
2005,,2.11,2.62
2008,,4.01,4.69
2009,,2.8,3.44
2010,,2.98,4.25
2011,,3.57,4.85
2012,,4.1,5.42
2013,,4.1,5.32
2014,,3.76,5.33
2016,start of forecast,1.59,2.03
2017,,1.95,2.39
2018,,2.22,2.66
2019,,2.61,3.05
2020,,2.79,3.23
2021,,2.92,3.36
2022,,3.01,3.45
2023,,3.08,3.52
2024,,3.14,3.58
2025,,3.2,3.64
2026,,3.28,3.72
2027,,3.35,3.79
2028,,3.41,3.85
2029,,3.49,3.93
2030,,3.53,3.97
2031,,3.62,4.06
2032,,3.7,4.14
2033,,3.79,4.23
2034,,3.88,4.32
2035,,3.94,4.38
2036,,4.03,4.47
2037,,4.08,4.52
2038,,4.18,4.62
2039,,4.25,4.69
2040,,4.35,4.79
