year,Base case cost,Modeled wind power
2019,366479.391578,664317.9868
2020,391753.832377,678793.401661
2021,409793.826878,687190.540208
2022,422424.458528,691133.247092
2023,432248.283145,692825.675535
2024,440438.830117,693240.300545
2025,448854.858718,694034.916083
2026,460076.230186,697391.247811
2027,469649.682344,699444.26851
2028,478061.318446,700676.627871
2029,489276.833248,704458.876715
2030,494884.590649,703559.628164
2031,507237.030679,708552.791626
2032,518446.688816,712731.304488
2033,530780.094682,717964.114661
2034,543100.323051,723308.558664
2035,551210.340869,725156.449509
2036,563801.440026,731012.679602
2037,570497.805163,731879.443796
2038,584174.583723,738853.850953
